Institution,Alumni,Award,HiCi,N&S,PUB,PCP
Harvard University,100,100,100,100,100,75.3
Stanford University,41.8,82.8,79.8,71.1,70.9,51.9
University of California-Berkeley,66.8,79.4,65.3,67.5,68.1,55.9
Massachusetts Institute of Technology (MIT),68.4,80.7,60.6,73.6,61.5,67.1
California Institute of Technology,48.5,66.7,49.3,60,44.9,100
University of Oxford,51,54.9,52.8,52.7,72.7,43
"University of California, San Diego",19.7,35.5,56.1,55.7,65,36.5
University of Cambridge,79.1,96.6,50.8,56.2,66.5,55.2
Yale University,48.8,50.4,51,61.5,62.9,37.7
University of Washington,21.7,31.6,53,53.1,71.6,29
"University of California, Los Angeles",30.2,47.1,52.8,50.9,71.3,31.7
Columbia University,65.1,65.9,51.6,55,69.1,33.1
University of Michigan-Ann Arbor,35.3,0,56.2,42.4,77.3,25.6
The University of Tokyo,31.6,14.1,40.6,52.6,73,29.2
"University of California, San Francisco",0,39.9,46.8,56.5,59.9,34.9
University of Pennsylvania,32.4,33.8,49.6,44.6,66.9,37.3
University of Toronto,20.4,17.2,38.8,42.2,80.5,29.6
Cornell University,37.6,49.8,50.4,46.9,61,39.7
The Johns Hopkins University,38.7,33.6,44,47.8,70.2,28.7
Princeton University,52.1,88.5,57.1,46.2,44.2,68.1
University College London,28.8,29.5,39.2,40.7,71.6,31.5
Duke University,15.8,14.9,50.2,40.6,61.9,23.7
Swiss Federal Institute of Technology Zurich,30.2,35.5,38.4,46.7,55.6,45.8
"The Imperial College of Science, Technology and Medicine",14.9,35.8,43.7,38,62.5,38
Northwestern University,15.8,22.1,50.3,39.5,58.2,28.7
"University of Minnesota, Twin Cities",30.2,16.3,47.3,34.5,65.1,26.2
University of Chicago,61.4,86.3,48.4,43,50.7,41.5
University of Wisconsin - Madison,31.6,34.8,40.2,37.4,63.2,24.5
University of North Carolina at Chapel Hill,9.1,16.3,40.4,36.3,61.1,25.6
Washington University in St. Louis,19,24.9,40.7,44.2,52.1,26.1
"University of California, Davis",0,0,41,35.1,59.3,26.1
New York University,28.8,31.9,36.1,42.4,56.6,23.4
University of British Columbia,15.8,18.8,34.2,34,63.9,24.4
The University of Texas at Austin,16.6,16.3,38.6,36.3,55.7,26
Pennsylvania State University - University Park,10.5,0,42.3,33,54.7,22.6
Kyoto University,30.2,37.2,34.4,35,61.2,23.8
University of Colorado at Boulder,12.9,34.1,37.1,40.1,46.1,34.8
University of Illinois at Urbana-Champaign,30.7,36.2,35.8,36,54.4,28.5
The University of Melbourne,17.5,13.3,29.3,26.7,65.9,29.7
University of Copenhagen,22.3,18.8,27.1,32,61.1,36.2
The Ohio State University - Columbus,12.9,0,38.3,25.5,60.6,18.8
"University of Maryland, College Park",19.7,20,31.9,32.5,52.5,26
University of Pittsburgh-Pittsburgh Campus,19,0,39.8,19.2,61.9,18.5
Pierre and Marie Curie University - Paris 6,34.5,27.4,25.8,30.2,60,23.8
"Rutgers, The State University of New Jersey - New Brunswick",10.5,18.8,34.5,30.1,49.8,24.5
Osaka University,9.1,0,30.9,29.9,54.4,22.3
The University of Manchester,19,32.6,28,28.2,57.8,25.9
"University of California, Irvine",0,29.3,35,31.5,46,27.8
"University of California, Santa Barbara",14.9,35.1,38.7,28.8,38.6,36.9
"University of California, Santa Cruz",0,0,37.9,34.3,29.4,37.3
McGill University,31.1,0,22.8,27.1,59.4,26.2
