City,Country,Continent,CFI_Group,HDI_Level,Citizen_Adoption,Government_Adoption,Healthcare_Innovation,Tech_Education,Parking_Innovation,Traffic_Management,Clean_Transport,Business_Innovation,ePayments,Internet_Connectivity,Green_Energy,Green_Buildings,Waste_Management,Climate_Response
Atlanta,USA,North America,Medium,Rank 11-20,89.29,97.87,63.51,68.74,75.76,86.42,66.55,78.9,73.28,72.15,57.61,90.29,67.91,74.77
Barcelona,Spain,Europe,Medium,Rank 21-30,84.84,69.87,83.76,50,84.95,87.75,95.82,61.94,68.46,76.15,72.23,81.87,69.02,79.25
Beijing,China,Asia,Medium,Rank below 41,62.59,53.93,82.33,100,81,78.17,74.49,76.16,58.34,67.56,65.55,83.05,50,62.15
Berlin,Germany,Europe,High,Top 10,89.82,86.36,83.79,63.13,92.42,77.25,94.47,73.4,80.64,71.28,72.95,82.79,80.03,86.26
Birmingham,UK,Europe,Medium,Rank 11-20,71.45,74.41,73.1,61.8,79.05,90.97,77.26,50,81.55,70.81,70.48,80.97,73.37,98.34
Busan,South Korea,Asia,Medium,Rank below 41,84.44,96.57,78.84,53.9,69.84,96.51,79.42,50,82.78,78.84,52.97,81.99,81.88,63.73
Chicago,USA,North America,Medium,Rank 11-20,86.71,98.29,83.33,67.58,77.21,85.75,69.51,72.53,73.28,71.76,56.17,88.36,67.91,74.77
Cologne (Cologne Bonn Area),Germany,Europe,Medium,Top 10,77.01,82.07,75.27,54.34,83.77,82.2,81.11,51.71,80.64,73.19,72.95,82.56,80.03,86.26
Dallas,USA,North America,Medium,Rank 11-20,82.88,91.5,77.87,56.26,73.14,73.12,65.57,63.72,73.28,72.31,59.94,86.65,67.91,74.77
Detroit,USA,North America,Medium,Rank 11-20,80.47,93.8,71.1,58.22,72.8,84.48,54.72,56.42,73.28,70.17,56.94,84.21,67.91,74.77
Dubai,United Arab Emirates,Asia,Low,Rank 31-40,84.76,77.01,65.17,52.39,81.52,81.96,57.88,62.79,71.47,70.57,51.25,50,72.87,91.98
Fort Worth,USA,North America,Medium,Rank 11-20,75.8,89.24,70.58,55.46,70.89,94.62,70.71,50.39,73.28,77.99,59.94,84.92,67.91,74.77
Guangzhou,China,Asia,Low,Rank below 41,52.43,50.63,75.67,65.77,69.73,77.66,82.47,57.71,58.34,66.02,65.55,82.08,50,62.15
Hangzhou,China,Asia,Low,Rank below 41,56.92,52.76,78.5,63.72,70.47,81.22,82.65,68.13,58.34,65.8,65.55,82.02,50,62.15
Hong Kong,Hong Kong,Asia,Medium,Top 10,85.09,88.17,82.91,64.49,65.11,74.01,100,62.21,71.22,100,50,91.51,77.72,62.69
Houston,USA,North America,Medium,Rank 11-20,78.49,90.2,77.01,60.15,71.97,84.69,58.6,56.96,73.28,72.94,59.94,87.48,67.91,74.77
Kuala Lumpur,Malaysia,Asia,Low,Rank below 41,65.77,58.48,58.33,58.79,52.39,78.23,50,53.59,65.31,50,58.52,79.83,51.94,64.22
London,UK,Europe,High,Rank 11-20,87.8,77.01,88.95,90.87,100,73.57,91.87,83.14,81.55,70.69,70.48,85.21,73.37,98.34
Los Angeles,USA,North America,Medium,Rank 11-20,88.37,93.46,83.65,82.8,69.86,53.82,50.75,74.89,73.28,74.09,74.92,86.38,67.91,74.77
Madrid,Spain,Europe,Medium,Rank 21-30,80.89,68.1,80.15,60.31,84.3,92.31,79.43,57.3,68.46,76.78,72.23,82.35,69.02,79.25
Manchester,UK,Europe,High,Rank 11-20,74.04,74.62,76.31,67.88,94.63,84.14,79.19,54.71,81.55,71.46,70.48,80.97,73.37,98.34
