Country,X1.1,X1.2,X1.3,X1.4,X1.5,X1.6,X2.1,X2.2,X2.3,X2.4,X2.5,X2.6,X2.7,X3.1,X3.2,X3.3,X3.4,X3.5,X4.1,X4.2,X4.3,X4.4,X4.5,X4.6,X4.7
Algeria,99,96,63.1,41.1,75,72.4,94.2,46.2,39.1,59.2,49.6,60.3,0,40.3,0,89.8,65.8,90.5,77.1,15,91.8,3.2,21.9,63.1,50.1
Angola,0,23.2,44.2,51.6,50,39.4,26.8,23.1,34.6,85.4,45.9,39.3,50,28.4,50,72.2,42.2,46.2,74.6,0,68.6,28.2,41.5,58.4,6.1
Argentina,0,94.7,60.6,74.4,100,76.4,54.7,31.2,48.1,61.2,69.9,88.2,50,65.7,100,93.5,100,93.2,75.7,15,39.9,1.2,95.6,33.1,70.5
Australia,56,99.2,77.1,97.2,100,90.3,81.4,46.7,64.3,12.6,93,82.5,50,82.1,50,93.1,100,100,83.9,20,62,1.2,85,8.8,64.8
Austria,88.5,99.2,82.1,72.2,100,92.6,94.2,50.9,76,52.4,87.8,84.4,50,79.1,76.5,94.7,100,100,65.6,60,87.9,4.5,89.5,71.8,86.5
Azerbaijan,77,100,67.8,63.9,100,71.8,48.9,52.1,61.3,74.8,36.2,81.1,50,28.4,0,90.4,63.9,89.6,68,5,90.1,9.2,40,0,73.9
Bahrain,82.5,99.1,46.6,85.7,100,56.3,75.3,68.1,58.7,98.3,52.1,85.4,0,55.2,47.1,95.8,88.5,100,27.2,20,87.3,57.3,31.4,21.5,49.2
Bangladesh,71,43.8,49.3,56.4,25,52.8,25.6,47.2,58.1,89.5,43.5,77.4,100,1.5,100,33.7,37.4,83.7,49,0,23,50,93.1,11,71.5
Belarus,78.5,100,70.4,71.9,100,93.4,55.9,54.5,42.1,52.7,50.8,89.9,50,62.7,50,93,96.7,98.4,62.8,55,90.4,13,89.5,25.1,90.5
Belgium,85.5,99.9,83.7,72.2,100,87.7,97.7,41.4,67.7,58.5,87.2,89.5,0,74.6,50,90.9,97.7,100,55,15,82.1,17.5,57.2,55.4,84.3
Benin,84.5,18.2,35.8,60.7,25,31.8,43.1,40.8,32.6,72.1,60.9,58.2,50,20.9,50,77.3,38.6,49.6,63.4,0,35.9,28.2,68.6,34,21.9
Bolivia,100,91.6,46.3,67.2,50,88.1,48.8,42.2,32.7,27.9,53.4,83.9,100,44.8,50,76,59.2,70,74.7,5,72.2,50.8,76.2,12.3,56
Botswana,81.5,60.8,34,78.4,100,64.7,41.8,83.7,56.6,1.7,76.1,81.1,0,47.8,26.5,86.5,53.4,68.4,76.7,0,40.1,38,44.4,25.8,48.9
Brazil,54.5,90.2,44.2,74.9,75,86.7,52.4,40.1,36.2,26.9,63.3,53.9,50,71.6,100,89.9,93.7,99.1,67.3,10,61.4,13.8,90.8,7.7,76.7
Bulgaria,73,97.6,64.4,72.2,100,91.7,56.9,47.4,48.3,76.9,69.3,60.3,50,62.7,100,84.4,75.6,93.2,67.2,10,85.4,6,98.2,55.4,93.2
Burkina Faso,80.5,17.6,38.2,60.7,25,34.9,67.4,26.3,27.4,52.7,30.7,76.3,100,23.9,50,79.9,38.8,41.8,65.7,0,70.5,36.5,64.3,44.4,17
Burundi,39.5,3.8,24.1,49.1,25,6.5,7.6,9.6,30.7,51.4,33.4,71.8,50,47.8,50,60.9,29.6,39.3,50.1,40,62.6,40.8,62.3,36.3,9.6
Cambodia,77,63.8,48.5,68.4,100,42.1,22.1,43.8,34.6,88.1,42.7,45.4,100,16.4,50,35.6,51.9,75.5,64.9,0,28,8.7,98.4,34.6,62.2
Cameroon,82,49.5,35.1,43.6,25,30.6,65.1,26.6,20,92.2,24.8,21.7,0,34.3,50,68,48.7,53,69.5,0,67.9,53.2,69.6,26,26.3
Canada,88,99.5,76.6,62.4,100,85.8,87.2,41.6,72.3,86.1,96.9,81.2,50,77.6,100,96.5,100,99.7,66.6,20,79.2,8.5,95,49.2,71.3
Chad,72,28.8,29.7,45.4,25,22.1,36,20.4,9.6,63.3,28.6,50.8,100,26.9,50,70.7,35.2,22.1,62.4,0,55,53.2,58.4,33.8,12.7
Chile,66.5,99.2,56.7,85.2,100,95.6,67.4,36.9,57.7,82.7,81.2,75.4,50,55.2,100,89.6,83,99.9,77.8,20,93.7,9.8,43.9,59.4,91.2
China,58,94.2,55.7,65.7,100,93.1,74.4,75.8,70.7,90.8,72.5,72.8,100,43.3,50,84.2,80.6,90.3,60.8,5,67.6,33,94.8,19.2,87.8
Colombia,72,86.4,48.3,64.4,75,77.9,51.2,32,38.5,88.8,54,76.8,50,67.2,73.5,72.6,61.6,92.3,65.1,50,83.1,28.5,49.7,54.3,83.7
Congo (Dem. Rep.),92.5,1.8,25.8,72.4,25,16,14,20.9,17.7,95.6,20.8,84.7,50,52.2,50,18,39.8,26.9,64.3,0,82.7,53.2,51.5,10,9.9
Costa Rica,97.5,96.6,52.1,71.2,100,82.4,68.6,37.1,41.7,85.7,80.3,48.6,50,73.1,100,80.2,75,93.4,79.2,45,86.4,67.3,44.8,66.2,71.2
Côte d'Ivoire,79,36.5,43.3,60.7,25,28.3,68.6,37.7,39.9,78.9,47,62.7,0,17.9,26.5,61.9,43.3,53.6,73.5,0,75.6,42,71.5,35.4,28.1
Czech Republic,77,100,81.8,72.2,100,93.3,74.4,72.3,42.5,69.7,80.3,86,50,77.6,47.1,85.5,96,87.1,58.3,60,87.4,8.2,99.6,95.4,91
