Entity,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40
1,9.721545975,9.721545975,9.665661948,10.31048075,9.665661948,9.673856107,9.673856107,10.31048075,10.31048075,9.673856107,9.665661948,9.721545975,9.721545975,9.721545975,9.665661948,9.673856107,9.721545975,10.31048075,10.31048075,10.31048075,9.721545975,9.721545975,9.721545975,9.673856107,9.673856107,9.665661948,9.665661948,9.665661948,9.673856107,9.665661948,9.665661948,10.31048075,9.673856107,10.31048075,10.31048075,9.665661948,10.31048075,9.673856107,9.673856107,9.721545975
2,11.22096371,11.22096371,9.532074026,9.734348375,9.532074026,10.49865804,10.49865804,9.734348375,9.734348375,10.49865804,9.532074026,11.22096371,11.22096371,11.22096371,9.532074026,10.49865804,11.22096371,9.734348375,9.734348375,9.734348375,11.22096371,11.22096371,11.22096371,10.49865804,10.49865804,9.532074026,9.532074026,9.532074026,10.49865804,9.532074026,9.532074026,9.734348375,10.49865804,9.734348375,9.734348375,9.532074026,9.734348375,10.49865804,10.49865804,11.22096371
3,10.982113,10.982113,5.011000912,10.3852804,8.875396329,10.19023032,4.93346972,5.072956036,10.3852804,10.19023032,8.875396329,10.982113,5.145996594,5.104037702,8.875396329,10.19023032,10.982113,10.3852804,10.3852804,10.3852804,10.982113,10.982113,10.982113,10.19023032,10.19023032,8.875396329,8.875396329,5.137305204,10.19023032,8.875396329,8.875396329,10.3852804,10.19023032,5.042188469,10.3852804,8.875396329,4.967839393,5.06622543,4.800592121,10.982113
4,10.56226735,10.56226735,9.943029466,9.624397128,9.943029466,10.84490424,10.84490424,9.624397128,9.624397128,10.84490424,9.943029466,10.56226735,10.56226735,10.56226735,9.943029466,10.84490424,10.56226735,9.624397128,9.624397128,9.624397128,10.56226735,10.56226735,10.56226735,10.84490424,10.84490424,9.943029466,9.943029466,9.943029466,10.84490424,9.943029466,9.943029466,9.624397128,10.84490424,9.624397128,9.624397128,9.943029466,9.624397128,10.84490424,10.84490424,10.56226735
5,10.33336997,10.33336997,11.01724925,9.104636642,11.01724925,8.910008128,8.910008128,9.104636642,9.104636642,8.910008128,11.01724925,10.33336997,10.33336997,10.33336997,11.01724925,8.910008128,10.33336997,9.104636642,9.104636642,9.104636642,10.33336997,10.33336997,10.33336997,8.910008128,8.910008128,11.01724925,11.01724925,11.01724925,8.910008128,11.01724925,11.01724925,9.104636642,8.910008128,9.104636642,9.104636642,11.01724925,9.104636642,8.910008128,8.910008128,10.33336997
6,8.58471808,8.58471808,9.585984137,8.932176294,9.585984137,10.23743027,10.23743027,8.932176294,8.932176294,10.23743027,9.585984137,8.58471808,8.58471808,8.58471808,9.585984137,10.23743027,8.58471808,8.932176294,8.932176294,8.932176294,8.58471808,8.58471808,8.58471808,10.23743027,10.23743027,9.585984137,9.585984137,9.585984137,10.23743027,9.585984137,9.585984137,8.932176294,10.23743027,8.932176294,8.932176294,9.585984137,8.932176294,10.23743027,10.23743027,8.58471808
7,8.83038474,8.83038474,10.29986525,10.8846505,10.29986525,10.4102751,10.4102751,10.8846505,10.8846505,10.4102751,10.29986525,8.83038474,8.83038474,8.83038474,10.29986525,10.4102751,8.83038474,10.8846505,10.8846505,10.8846505,8.83038474,8.83038474,8.83038474,10.4102751,10.4102751,10.29986525,10.29986525,10.29986525,10.4102751,10.29986525,10.29986525,10.8846505,10.4102751,10.8846505,10.8846505,10.29986525,10.8846505,10.4102751,10.4102751,8.83038474
8,9.271780889,9.271780889,9.004201275,9.289593436,9.004201275,9.926443981,9.926443981,9.289593436,9.289593436,9.926443981,9.004201275,9.271780889,9.271780889,9.271780889,9.004201275,9.926443981,9.271780889,9.289593436,9.289593436,9.289593436,9.271780889,9.271780889,9.271780889,9.926443981,9.926443981,9.004201275,9.004201275,9.004201275,9.926443981,9.004201275,9.004201275,9.289593436,9.926443981,9.289593436,9.289593436,9.004201275,9.289593436,9.926443981,9.926443981,9.271780889
9,10.06424356,10.06424356,10.09690423,8.862696379,10.09690423,8.802636498,8.802636498,8.862696379,8.862696379,8.802636498,10.09690423,10.06424356,10.06424356,10.06424356,10.09690423,8.802636498,10.06424356,8.862696379,8.862696379,8.862696379,10.06424356,10.06424356,10.06424356,8.802636498,8.802636498,10.09690423,10.09690423,10.09690423,8.802636498,10.09690423,10.09690423,8.862696379,8.802636498,8.862696379,8.862696379,10.09690423,8.862696379,8.802636498,8.802636498,10.06424356
10,10.00269166,10.00269166,10.23063364,9.650349612,10.23063364,11.3282147,11.3282147,9.650349612,9.650349612,11.3282147,10.23063364,10.00269166,10.00269166,10.00269166,10.23063364,11.3282147,10.00269166,9.650349612,9.650349612,9.650349612,10.00269166,10.00269166,10.00269166,11.3282147,11.3282147,10.23063364,10.23063364,10.23063364,11.3282147,10.23063364,10.23063364,9.650349612,11.3282147,9.650349612,9.650349612,10.23063364,9.650349612,11.3282147,11.3282147,10.00269166
11,12.691714,12.691714,8.686549083,8.538244415,8.686549083,10.4388187,10.4388187,8.538244415,8.538244415,10.4388187,8.686549083,12.691714,12.691714,12.691714,8.686549083,10.4388187,12.691714,8.538244415,8.538244415,8.538244415,12.691714,12.691714,12.691714,10.4388187,10.4388187,8.686549083,8.686549083,8.686549083,10.4388187,8.686549083,8.686549083,8.538244415,10.4388187,8.538244415,8.538244415,8.686549083,8.538244415,10.4388187,10.4388187,12.691714
12,8.79155728,8.79155728,7.994542182,8.715284278,7.994542182,9.815691131,9.815691131,8.715284278,8.715284278,9.815691131,7.994542182,8.79155728,8.79155728,8.79155728,7.994542182,9.815691131,8.79155728,8.715284278,8.715284278,8.715284278,8.79155728,8.79155728,8.79155728,9.815691131,9.815691131,7.994542182,7.994542182,7.994542182,9.815691131,7.994542182,7.994542182,8.715284278,9.815691131,8.715284278,8.715284278,7.994542182,8.715284278,9.815691131,9.815691131,8.79155728
13,10.48361753,10.48361753,5.087609611,10.43518149,10.78713361,8.86441153,5.136467278,5.068736411,10.43518149,8.86441153,10.78713361,10.48361753,5.04079462,5.084784277,10.78713361,8.86441153,10.48361753,10.43518149,10.43518149,10.43518149,10.48361753,10.48361753,10.48361753,8.86441153,8.86441153,10.78713361,10.78713361,4.800741423,8.86441153,10.78713361,10.78713361,10.43518149,8.86441153,5.011246381,10.43518149,10.78713361,5.010723503,5.000076419,4.929819557,10.48361753
14,9.408107898,9.408107898,13.18404447,10.05974994,13.18404447,10.55004396,10.55004396,10.05974994,10.05974994,10.55004396,13.18404447,9.408107898,9.408107898,9.408107898,13.18404447,10.55004396,9.408107898,10.05974994,10.05974994,10.05974994,9.408107898,9.408107898,9.408107898,10.55004396,10.55004396,13.18404447,13.18404447,13.18404447,10.55004396,13.18404447,13.18404447,10.05974994,10.55004396,10.05974994,10.05974994,13.18404447,10.05974994,10.55004396,10.55004396,9.408107898
15,11.48783783,11.48783783,11.77910267,10.36896453,11.77910267,11.12500275,11.12500275,10.36896453,10.36896453,11.12500275,11.77910267,11.48783783,11.48783783,11.48783783,11.77910267,11.12500275,11.48783783,10.36896453,10.36896453,10.36896453,11.48783783,11.48783783,11.48783783,11.12500275,11.12500275,11.77910267,11.77910267,11.77910267,11.12500275,11.77910267,11.77910267,10.36896453,11.12500275,10.36896453,10.36896453,11.77910267,10.36896453,11.12500275,11.12500275,11.48783783
16,8.434718235,8.434718235,10.95716427,10.24368743,10.95716427,10.21615254,10.21615254,10.24368743,10.24368743,10.21615254,10.95716427,8.434718235,8.434718235,8.434718235,10.95716427,10.21615254,8.434718235,10.24368743,10.24368743,10.24368743,8.434718235,8.434718235,8.434718235,10.21615254,10.21615254,10.95716427,10.95716427,10.95716427,10.21615254,10.95716427,10.95716427,10.24368743,10.21615254,10.24368743,10.24368743,10.95716427,10.24368743,10.21615254,10.21615254,8.434718235
17,9.356432613,9.356432613,9.153103611,9.899025115,9.153103611,8.801377641,8.801377641,9.899025115,9.899025115,8.801377641,9.153103611,9.356432613,9.356432613,9.356432613,9.153103611,8.801377641,9.356432613,9.899025115,9.899025115,9.899025115,9.356432613,9.356432613,9.356432613,8.801377641,8.801377641,9.153103611,9.153103611,9.153103611,8.801377641,9.153103611,9.153103611,9.899025115,8.801377641,9.899025115,9.899025115,9.153103611,9.899025115,8.801377641,8.801377641,9.356432613
18,7.789366889,7.789366889,8.979599409,9.469093478,8.979599409,10.16532102,10.16532102,9.469093478,9.469093478,10.16532102,8.979599409,7.789366889,7.789366889,7.789366889,8.979599409,10.16532102,7.789366889,9.469093478,9.469093478,9.469093478,7.789366889,7.789366889,7.789366889,10.16532102,10.16532102,8.979599409,8.979599409,8.979599409,10.16532102,8.979599409,8.979599409,9.469093478,10.16532102,9.469093478,9.469093478,8.979599409,9.469093478,10.16532102,10.16532102,7.789366889
19,9.078483957,9.078483957,11.57530771,8.763726881,11.57530771,8.960319647,8.960319647,8.763726881,8.763726881,8.960319647,11.57530771,9.078483957,9.078483957,9.078483957,11.57530771,8.960319647,9.078483957,8.763726881,8.763726881,8.763726881,9.078483957,9.078483957,9.078483957,8.960319647,8.960319647,11.57530771,11.57530771,11.57530771,8.960319647,11.57530771,11.57530771,8.763726881,8.960319647,8.763726881,8.763726881,11.57530771,8.763726881,8.960319647,8.960319647,9.078483957
20,9.917080058,9.917080058,11.39531344,11.10984814,11.39531344,9.301579332,9.301579332,11.10984814,11.10984814,9.301579332,11.39531344,9.917080058,9.917080058,9.917080058,11.39531344,9.301579332,9.917080058,11.10984814,11.10984814,11.10984814,9.917080058,9.917080058,9.917080058,9.301579332,9.301579332,11.39531344,11.39531344,11.39531344,9.301579332,11.39531344,11.39531344,11.10984814,9.301579332,11.10984814,11.10984814,11.39531344,11.10984814,9.301579332,9.301579332,9.917080058
21,10.09126738,10.09126738,10.98605822,9.311991384,10.98605822,10.51013255,10.51013255,9.311991384,9.311991384,10.51013255,10.98605822,10.09126738,10.09126738,10.09126738,10.98605822,10.51013255,10.09126738,9.311991384,9.311991384,9.311991384,10.09126738,10.09126738,10.09126738,10.51013255,10.51013255,10.98605822,10.98605822,10.98605822,10.51013255,10.98605822,10.98605822,9.311991384,10.51013255,9.311991384,9.311991384,10.98605822,9.311991384,10.51013255,10.51013255,10.09126738
22,7.75094891,7.75094891,10.09658583,8.928208774,10.09658583,10.81765945,10.81765945,8.928208774,8.928208774,10.81765945,10.09658583,7.75094891,7.75094891,7.75094891,10.09658583,10.81765945,7.75094891,8.928208774,8.928208774,8.928208774,7.75094891,7.75094891,7.75094891,10.81765945,10.81765945,10.09658583,10.09658583,10.09658583,10.81765945,10.09658583,10.09658583,8.928208774,10.81765945,8.928208774,8.928208774,10.09658583,8.928208774,10.81765945,10.81765945,7.75094891
23,9.343257075,9.343257075,10.8259229,10.46091621,10.8259229,7.985789502,7.985789502,10.46091621,10.46091621,7.985789502,10.8259229,9.343257075,9.343257075,9.343257075,10.8259229,7.985789502,9.343257075,10.46091621,10.46091621,10.46091621,9.343257075,9.343257075,9.343257075,7.985789502,7.985789502,10.8259229,10.8259229,10.8259229,7.985789502,10.8259229,10.8259229,10.46091621,7.985789502,10.46091621,10.46091621,10.8259229,10.46091621,7.985789502,7.985789502,9.343257075
24,10.89935405,10.89935405,10.103638,8.876891417,10.103638,8.246762641,8.246762641,8.876891417,8.876891417,8.246762641,10.103638,10.89935405,10.89935405,10.89935405,10.103638,8.246762641,10.89935405,8.876891417,8.876891417,8.876891417,10.89935405,10.89935405,10.89935405,8.246762641,8.246762641,10.103638,10.103638,10.103638,8.246762641,10.103638,10.103638,8.876891417,8.246762641,8.876891417,8.876891417,10.103638,8.876891417,8.246762641,8.246762641,10.89935405
25,10.61656782,10.61656782,11.11613662,8.739844755,11.11613662,10.51850377,10.51850377,8.739844755,8.739844755,10.51850377,11.11613662,10.61656782,10.61656782,10.61656782,11.11613662,10.51850377,10.61656782,8.739844755,8.739844755,8.739844755,10.61656782,10.61656782,10.61656782,10.51850377,10.51850377,11.11613662,11.11613662,11.11613662,10.51850377,11.11613662,11.11613662,8.739844755,10.51850377,8.739844755,8.739844755,11.11613662,8.739844755,10.51850377,10.51850377,10.61656782
26,11.68758948,11.68758948,10.10091986,10.40077145,10.10091986,8.273269601,8.273269601,10.40077145,10.40077145,8.273269601,10.10091986,11.68758948,11.68758948,11.68758948,10.10091986,8.273269601,11.68758948,10.40077145,10.40077145,10.40077145,11.68758948,11.68758948,11.68758948,8.273269601,8.273269601,10.10091986,10.10091986,10.10091986,8.273269601,10.10091986,10.10091986,10.40077145,8.273269601,10.40077145,10.40077145,10.10091986,10.40077145,8.273269601,8.273269601,11.68758948
27,9.133962255,9.133962255,9.884778291,11.30019868,9.884778291,11.48403093,11.48403093,11.30019868,11.30019868,11.48403093,9.884778291,9.133962255,9.133962255,9.133962255,9.884778291,11.48403093,9.133962255,11.30019868,11.30019868,11.30019868,9.133962255,9.133962255,9.133962255,11.48403093,11.48403093,9.884778291,9.884778291,9.884778291,11.48403093,9.884778291,9.884778291,11.30019868,11.48403093,11.30019868,11.30019868,9.884778291,11.30019868,11.48403093,11.48403093,9.133962255
28,10.24104593,10.24104593,9.347225604,11.86685184,9.347225604,9.872851393,9.872851393,11.86685184,11.86685184,9.872851393,9.347225604,10.24104593,10.24104593,10.24104593,9.347225604,9.872851393,10.24104593,11.86685184,11.86685184,11.86685184,10.24104593,10.24104593,10.24104593,9.872851393,9.872851393,9.347225604,9.347225604,9.347225604,9.872851393,9.347225604,9.347225604,11.86685184,9.872851393,11.86685184,11.86685184,9.347225604,11.86685184,9.872851393,9.872851393,10.24104593
29,8.061495299,8.061495299,9.858738243,10.25331851,9.858738243,11.01494317,11.01494317,10.25331851,10.25331851,11.01494317,9.858738243,8.061495299,8.061495299,8.061495299,9.858738243,11.01494317,8.061495299,10.25331851,10.25331851,10.25331851,8.061495299,8.061495299,8.061495299,11.01494317,11.01494317,9.858738243,9.858738243,9.858738243,11.01494317,9.858738243,9.858738243,10.25331851,11.01494317,10.25331851,10.25331851,9.858738243,10.25331851,11.01494317,11.01494317,8.061495299
30,9.844654653,9.844654653,8.328872941,10.05300423,8.328872941,9.054591169,9.054591169,10.05300423,10.05300423,9.054591169,8.328872941,9.844654653,9.844654653,9.844654653,8.328872941,9.054591169,9.844654653,10.05300423,10.05300423,10.05300423,9.844654653,9.844654653,9.844654653,9.054591169,9.054591169,8.328872941,8.328872941,8.328872941,9.054591169,8.328872941,8.328872941,10.05300423,9.054591169,10.05300423,10.05300423,8.328872941,10.05300423,9.054591169,9.054591169,9.844654653
31,9.095784974,9.095784974,12.41620737,8.332058063,12.41620737,10.75640644,10.75640644,8.332058063,8.332058063,10.75640644,12.41620737,9.095784974,9.095784974,9.095784974,12.41620737,10.75640644,9.095784974,8.332058063,8.332058063,8.332058063,9.095784974,9.095784974,9.095784974,10.75640644,10.75640644,12.41620737,12.41620737,12.41620737,10.75640644,12.41620737,12.41620737,8.332058063,10.75640644,8.332058063,8.332058063,12.41620737,8.332058063,10.75640644,10.75640644,9.095784974
32,8.823307842,8.823307842,8.308137585,9.134487137,8.308137585,10.12131838,10.12131838,9.134487137,9.134487137,10.12131838,8.308137585,8.823307842,8.823307842,8.823307842,8.308137585,10.12131838,8.823307842,9.134487137,9.134487137,9.134487137,8.823307842,8.823307842,8.823307842,10.12131838,10.12131838,8.308137585,8.308137585,8.308137585,10.12131838,8.308137585,8.308137585,9.134487137,10.12131838,9.134487137,9.134487137,8.308137585,9.134487137,10.12131838,10.12131838,8.823307842
